SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy,Disney,Marvel,Star Wars,WB,Universal,Other or unknown media license
10160,21017,1,Architecture,Architect Series,2013,Imperial Hotel,,1188,99.99,129.99,159.99,119.99,https://images.brickset.com/sets/images/21017-1.jpg,2988,2311,No,No,No,No,No,No
9284,21012,1,Architecture,Architect Series,2012,Sydney Opera House,,270,34.99,39.99,49.99,,https://images.brickset.com/sets/images/21012-1.jpg,3657,2174,No,No,No,No,No,No
9363,21014,1,Architecture,Architect Series,2012,Villa Savoye,,660,59.99,69.99,89.99,69.99,https://images.brickset.com/sets/images/21014-1.jpg,3167,2010,No,No,No,No,No,No
8338,21007,1,Architecture,Architect Series,2011,Rockefeller Center,,240,34.99,39.99,49.99,,https://images.brickset.com/sets/images/21007-1.jpg,2668,2009,No,No,No,No,No,No
8721,21009,1,Architecture,Architect Series,2011,Farnsworth House,,546,54.99,59.99,69.99,,https://images.brickset.com/sets/images/21009-1.jpg,3149,2239,No,No,No,No,No,No
8795,21010,1,Architecture,Architect Series,2011,Robie House,,2276,169.99,199.99,249.99,,https://images.brickset.com/sets/images/21010-1.jpg,2424,2896,No,No,No,No,No,No
29940,21054,1,Architecture,Landmark Series,2020,The White House,,1483,89.99,99.99,149.99,97.47,https://images.brickset.com/sets/images/21054-1.jpg,948,1672,No,No,No,No,No,No
29037,21045,1,Architecture,Landmark Series,2019,Trafalgar Square,,1197,79.99,79.99,99.99,77.97,https://images.brickset.com/sets/images/21045-1.jpg,2858,1721,No,No,No,No,No,No
29036,21046,1,Architecture,Landmark Series,2019,Empire State Building,,1767,89.99,129.99,159.99,97.47,https://images.brickset.com/sets/images/21046-1.jpg,2800,1748,No,No,No,No,No,No
29875,21055,1,Architecture,Landmark Series,2019,Burj Khalifa,,333,44.99,,,38.98,https://images.brickset.com/sets/images/21055-1.jpg,232,427,No,No,No,No,No,No
27906,21041,1,Architecture,Landmark Series,2018,Great Wall of China,,551,44.99,49.99,64.99,49.99,https://images.brickset.com/sets/images/21041-1.jpg,3896,1611,No,No,No,No,No,No
27907,21042,1,Architecture,Landmark Series,2018,Statue of Liberty,,1685,89.99,119.99,139.99,97.47,https://images.brickset.com/sets/images/21042-1.jpg,5907,2240,No,No,No,No,No,No
26418,21035,1,Architecture,Landmark Series,2017,Solomon R. Guggenheim Museum,,744,64.99,79.99,99.99,69.99,https://images.brickset.com/sets/images/21035-1.jpg,3254,1547,No,No,No,No,No,No
26730,21036,1,Architecture,Landmark Series,2017,Arc de Triomphe,,386,29.99,39.99,49.99,34.99,https://images.brickset.com/sets/images/21036-1.jpg,4332,1818,No,No,No,No,No,No
25618,21029,1,Architecture,Landmark Series,2016,Buckingham Palace,,780,44.99,49.99,69.99,49.99,https://images.brickset.com/sets/images/21029-1.jpg,5267,2146,No,No,No,No,No,No
